ID,어휘,표기통일,뜻검수,예문1,예문2,예문3,그림,관련어10,L4음절선택,L5어절조립,교란지검수,문화편향검수,최종승인,비고
11,개요,개요,전체 내용 중에서 주요 내용을 뽑아 간략히 정리한 것.,글의 개요.,책의 개요.,사건의 개요.,미사용,"태도, 추측, 선택, 모습, 도구, 상상",정답:개요 | 보기:요/분/찬/개/려,"chunks:민수는/집에서/개요를/배웠다. | targetIndex:2 | vocabDistractor:태도를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:개요가,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=26670 | AUTO_SELECTED_90_BALANCED
12,보존,보존,중요한 것을 잘 보호하여 그대로 남김.,원형 보존.,현장 보존.,보존 상태.,미사용,"설명, 표면, 단순, 발달, 분류, 배경",정답:보존 | 보기:꾸/견/존/맞/보,"chunks:지수는/도서관에서/보존을/배웠다. | targetIndex:2 | vocabDistractor:설명을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:보존이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=14528 | AUTO_SELECTED_90_BALANCED
13,조사,조사,어떤 일이나 사물의 내용을 알기 위하여 자세히 살펴보거나 찾아봄.,검찰 조사.,사고 조사.,설문 조사.,미사용,"입체, 비교, 기록, 찬성, 검토, 점검",정답:조사 | 보기:사/경/찰/조/호,"chunks:나는/수업 시간에/조사를/배웠다. | targetIndex:2 | vocabDistractor:입체를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:조사가,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62052 | AUTO_SELECTED_90_BALANCED
14,실행,실행,실제로 행함.,실행 가능.,실행 계획.,실행 단계.,미사용,"비교, 모두, 작성, 입체, 반면, 요소",정답:실행 | 보기:다/할/실/택/행,"chunks:우리는/교실에서/실행을/배웠다. | targetIndex:2 | vocabDistractor:비교를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:실행이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=66224 | AUTO_SELECTED_90_BALANCED
15,파악,파악,어떤 일이나 대상의 내용이나 상황을 확실하게 이해하여 앎.,분위기 파악.,상황 파악.,신원 파악.,미사용,"형태, 용액, 전시, 단서, 특징, 계획",정답:파악 | 보기:히/행/측/파/악,"chunks:민수는/집에서/파악을/배웠다. | targetIndex:2 | vocabDistractor:형태를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:파악이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=82407 | AUTO_SELECTED_90_BALANCED
16,공통점,공통점,여럿 사이에 서로 같은 점.,공통점과 차이점.,공통점이 많다.,공통점이 있다.,미사용,"전시, 검토, 범위, 순서, 측정, 단서",정답:공통점 | 보기:효/통/점/공/두,"chunks:지수는/도서관에서/공통점을/배웠다. | targetIndex:2 | vocabDistractor:전시를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:공통점이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=25284 | AUTO_SELECTED_90_BALANCED
17,차이점,차이점,서로 같지 않고 다른 점.,차이점을 나열하다.,차이점이 뚜렷하다.,차이점이 있다.,미사용,"판단, 반대, 표시, 작품, 자료, 조사",정답:차이점 | 보기:이/례/점/방/차,"chunks:나는/수업 시간에/차이점을/배웠다. | targetIndex:2 | vocabDistractor:판단을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:차이점이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=37245 | AUTO_SELECTED_90_BALANCED
18,비교,비교,둘 이상의 것을 함께 놓고 어떤 점이 같고 다른지 살펴봄.,가격 비교.,비교 대상.,비교 분석.,미사용,"의견, 특징, 이용, 내용, 정리, 연결",정답:비교 | 보기:교/비/획/영/당,"chunks:우리는/교실에서/비교를/배웠다. | targetIndex:2 | vocabDistractor:의견을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:비교가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=63521 | AUTO_SELECTED_90_BALANCED
19,입체,입체,삼차원의 공간에서 여러 개의 평면이나 곡면으로 둘러싸여 부피를 가지는 물체.,입체 공간.,입체 만화.,입체 모형.,미사용,"비교, 구별, 분류, 개요, 점검, 영향",정답:입체 | 보기:례/체/존/입/지,"chunks:민수는/집에서/입체를/배웠다. | targetIndex:2 | vocabDistractor:비교를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:입체가,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=73592 | AUTO_SELECTED_90_BALANCED
20,구하다,구하다,필요한 것을 얻으려고 찾다. 또는 찾아서 얻다.,돈을 구하다.,먹이를 구하다.,물건을 구하다.,미사용,"찬성, 원인, 단순, 확대, 대상, 방식",정답:구하다 | 보기:인/반/하/구/다,"chunks:지수는/도서관에서/'구하다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'찬성' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'구하다' 뜻이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=58299 | AUTO_SELECTED_90_BALANCED
21,해결,해결,"사건이나 문제, 일 등을 잘 처리해 끝을 냄.",문제 해결.,사건 해결.,원만한 해결.,미사용,"역할, 관점, 수단, 주제, 특징, 대상",정답:해결 | 보기:수/경/결/해/황,"chunks:나는/수업 시간에/해결을/배웠다. | targetIndex:2 | vocabDistractor:역할을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:해결이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=72470 | AUTO_SELECTED_90_BALANCED
22,반대,반대,"어떤 것이 다른 것과 모양, 위치, 방향, 속성 등에서 완전히 다름.",반대 방향.,반대 현상.,반대로 가다.,미사용,"평균, 제출, 기술, 상황, 내용, 미래",정답:반대 | 보기:분/반/황/고/대,"chunks:우리는/교실에서/반대를/배웠다. | targetIndex:2 | vocabDistractor:평균을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:반대가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=69484 | AUTO_SELECTED_90_BALANCED
23,문제점,문제점,문제가 되는 부분이나 요소.,고질적 문제점.,숨겨진 문제점.,심각한 문제점.,미사용,"내용, 전시, 검토, 제출, 기록, 영향",정답:문제점 | 보기:점/제/문/시/습,"chunks:민수는/집에서/문제점을/배웠다. | targetIndex:2 | vocabDistractor:내용을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:문제점이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=59244 | AUTO_SELECTED_90_BALANCED
24,바람직하다,바람직하다,좋다고 생각할 만하다.,바람직한 방법.,바람직한 방향.,바람직한 사회.,미사용,"예상, 영향, 이용, 부분, 작품, 조사",정답:바람직하다 | 보기:변/람/직/다/하/해/바,"chunks:지수는/도서관에서/'바람직하다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'예상' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'바람직하다' 뜻이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=15806 | AUTO_SELECTED_90_BALANCED
25,작품,작품,만든 물건.,작품 발표.,작품 제작.,작품이 완성되다.,미사용,"평균, 순서, 구별, 연결, 계획, 검토",정답:작품 | 보기:고/품/교/작/단,"chunks:나는/수업 시간에/작품을/배웠다. | targetIndex:2 | vocabDistractor:평균을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:작품이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24837 | AUTO_SELECTED_90_BALANCED
26,제출,제출,"어떤 안건이나 의견, 서류 등을 내놓음.",과제물 제출.,보고서 제출.,작품 제출.,미사용,"단서, 짐작, 내용, 검토, 비교, 순서",정답:제출 | 보기:주/출/특/제/입,"chunks:우리는/교실에서/제출을/배웠다. | targetIndex:2 | vocabDistractor:단서를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:제출이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=31811 | AUTO_SELECTED_90_BALANCED
27,점검,점검,낱낱이 검사함. 또는 그런 검사.,기계 점검.,시설 점검.,장비 점검.,미사용,"입체, 찬성, 의미, 탐색, 의견, 개요",정답:점검 | 보기:질/확/점/용/검,"chunks:민수는/집에서/점검을/배웠다. | targetIndex:2 | vocabDistractor:입체를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:점검이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=31715 | AUTO_SELECTED_90_BALANCED
28,태도,태도,몸을 움직이거나 어떤 일을 대하는 마음이 드러난 자세.,근무 태도.,학습 태도.,생활 태도.,미사용,"보고, 정리, 설명, 확대, 선택, 의견",정답:태도 | 보기:도/형/순/입/태,"chunks:지수는/도서관에서/태도를/배웠다. | targetIndex:2 | vocabDistractor:보고를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:태도가,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62414 | AUTO_SELECTED_90_BALANCED
29,상상,상상,실제로 없는 것이나 경험하지 않은 것을 머릿속으로 그려 봄.,상상 밖.,상상의 세계.,상상을 뛰어넘다.,미사용,"영향, 범위, 태도, 확대, 단서, 성질",정답:상상 | 보기:화/태/통/존/상,"chunks:나는/수업 시간에/상상을/배웠다. | targetIndex:2 | vocabDistractor:영향을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:상상이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=61734 | AUTO_SELECTED_90_BALANCED
30,관점,관점,사물이나 현상을 보고 생각하는 개인의 입장 또는 태도.,객관적인 관점.,날카로운 관점.,새로운 관점.,미사용,"변화, 요약, 범위, 영향, 보호, 평균",정답:관점 | 보기:설/점/떠/찬/관,"chunks:우리는/교실에서/관점을/배웠다. | targetIndex:2 | vocabDistractor:변화를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:관점이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=23999 | AUTO_SELECTED_90_BALANCED
31,재구성,재구성,한 번 구성하였던 것을 다시 새롭게 구성함.,과거의 재구성.,문제의 재구성.,역사의 재구성.,미사용,"내용, 기술, 찬성, 작성, 모두, 참여",정답:재구성 | 보기:재/구/성/반/두,"chunks:민수는/집에서/재구성을/배웠다. | targetIndex:2 | vocabDistractor:내용을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:재구성이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=74458 | AUTO_SELECTED_90_BALANCED
32,배경,배경,뒤쪽의 경치.,눈부신 배경.,멋있는 배경.,아름다운 배경.,미사용,"대비, 완성, 부분, 이용, 결과, 수단",정답:배경 | 보기:차/경/배/절/평,"chunks:지수는/도서관에서/배경을/배웠다. | targetIndex:2 | vocabDistractor:대비를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:배경이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62538 | AUTO_SELECTED_90_BALANCED
33,창의적,창의적,지금까지 없던 새로운 것이 나타나 있는 것.,창의적 인 문제.,창의적 인 방법.,창의적 인 사람.,미사용,"내용, 보호, 작품, 부분, 표면, 반면",정답:창의적 | 보기:적/환/의/용/창,"chunks:나는/수업 시간에/창의적을/배웠다. | targetIndex:2 | vocabDistractor:내용을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:창의적이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=82800 | AUTO_SELECTED_90_BALANCED
34,분류,분류,여럿을 종류에 따라서 나눔.,도서 분류.,장르별 분류.,체계적 분류.,미사용,"까닭, 태도, 작성, 설명, 결과, 관점",정답:분류 | 보기:호/형/분/류/하,"chunks:우리는/교실에서/분류를/배웠다. | targetIndex:2 | vocabDistractor:까닭을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:분류가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=59453 | AUTO_SELECTED_90_BALANCED
35,기준,기준,구별하거나 정도를 판단하기 위해 그것과 비교하도록 정한 대상이나 잣대.,기준을 강화하다.,기준을 세우다.,기준을 잡다.,미사용,"연구, 의견, 판단, 평균, 검토, 용액",정답:기준 | 보기:비/기/준/작/나,"chunks:민수는/집에서/기준을/배웠다. | targetIndex:2 | vocabDistractor:연구를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:기준이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=61091 | AUTO_SELECTED_90_BALANCED
36,도구,도구,어떤 일을 할 때 쓰이는 기구. 또는 연장.,실험 도구.,작업 도구.,청소 도구.,미사용,"작품, 연결, 보존, 형태, 단서, 원인",정답:도구 | 보기:효/해/요/구/도,"chunks:지수는/도서관에서/도구를/배웠다. | targetIndex:2 | vocabDistractor:작품을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:도구가,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=47519 | AUTO_SELECTED_90_BALANCED
37,나누다,나누다,원래 하나였던 것을 둘 이상의 부분이나 조각이 되게 하다.,고기를 나누다.,구역을 나누다.,나무토막을 나누다.,미사용,"원인, 이용, 추측, 측정, 구별, 내용",정답:나누다 | 보기:나/능/누/결/다,"chunks:나는/수업 시간에/'나누다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'원인' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'나누다' 뜻이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=29749 | AUTO_SELECTED_90_BALANCED
38,묶다,묶다,끈이나 줄 등을 매듭으로 만들다.,고무줄을 묶다.,끈을 묶다.,리본을 묶다.,미사용,"검토, 까닭, 구성, 예상, 반대, 분류",정답:묶다 | 보기:다/까/공/묶/추,"chunks:우리는/교실에서/'묶다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'검토' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'묶다' 뜻이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=64741 | AUTO_SELECTED_90_BALANCED
39,표면,표면,사물의 가장 바깥쪽. 또는 가장 윗부분.,달 표면.,지구의 표면.,피부의 표면.,미사용,"관점, 찬성, 연결, 전시, 미래, 조사",정답:표면 | 보기:택/라/면/표/작,"chunks:민수는/집에서/표면을/배웠다. | targetIndex:2 | vocabDistractor:관점을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:표면이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=88024 | AUTO_SELECTED_90_BALANCED
40,확대,확대,모양이나 규모 등을 원래보다 더 크게 함.,고용 확대.,투자 확대.,갈등의 확대.,미사용,"관찰, 사례, 계획, 기술, 단서, 연구",정답:확대 | 보기:확/준/방/대/부,"chunks:지수는/도서관에서/확대를/배웠다. | targetIndex:2 | vocabDistractor:관찰을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:확대가,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=87330 | AUTO_SELECTED_90_BALANCED
41,대상,대상,어떤 일이나 행동의 상대나 목표가 되는 사람이나 물건.,경계 대상.,공격 대상.,실험 대상.,미사용,"보고, 변화, 모두, 보존, 크기, 미래",정답:대상 | 보기:악/상/대/요/떠,"chunks:나는/수업 시간에/대상을/배웠다. | targetIndex:2 | vocabDistractor:보고를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:대상이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=50270 | AUTO_SELECTED_90_BALANCED
42,작성,작성,원고나 서류 등을 만듦.,계약서 작성.,목록 작성.,문서 작성.,미사용,"완성, 작품, 제출, 추측, 범위, 구성",정답:작성 | 보기:성/실/작/시/행,"chunks:우리는/교실에서/작성을/배웠다. | targetIndex:2 | vocabDistractor:완성을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:작성이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24803 | AUTO_SELECTED_90_BALANCED
43,변화,변화,"무엇의 모양이나 상태, 성질 등이 달라짐.",온도 변화.,계절의 변화.,날씨의 변화.,미사용,"대상, 구조, 구성, 방법, 영향, 참여",정답:변화 | 보기:화/형/어/식/변,"chunks:민수는/집에서/변화를/배웠다. | targetIndex:2 | vocabDistractor:대상을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:변화가,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=83169 | AUTO_SELECTED_90_BALANCED
44,탐색,탐색,알려지지 않은 사물이나 현상을 찾아내거나 밝히기 위해 살피어 찾음.,경로 탐색.,우주 탐색.,정보 탐색.,미사용,"요약, 실행, 이용, 구별, 정리, 내용",정답:탐색 | 보기:향/색/완/탐/슷,"chunks:지수는/도서관에서/탐색을/배웠다. | targetIndex:2 | vocabDistractor:요약을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:탐색이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=82730 | AUTO_SELECTED_90_BALANCED
45,참고,참고,살펴 생각하여 도움을 얻음.,참고 문헌.,참고 사항.,참고 자료.,미사용,"표시, 의미, 상황, 내용, 짜임, 구성",정답:참고 | 보기:참/고/가/나/다,"chunks:나는/수업 시간에/참고를/배웠다. | targetIndex:2 | vocabDistractor:표시를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:참고가,잊어버렸다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=78295
46,예상,예상,앞으로 있을 일이나 상황을 짐작함. 또는 그런 내용.,예상 결과.,예상 문제.,예상 밖.,미사용,"방법, 찬성, 보호, 전시, 평가, 범위",정답:예상 | 보기:예/상/가/나/다,"chunks:우리는/교실에서/예상을/배웠다. | targetIndex:2 | vocabDistractor:방법을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:예상이,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=70522
47,결과,결과,어떤 일이나 과정이 끝난 후의 상태나 현상.,검사 결과.,경기 결과.,연구 결과.,미사용,"바꾸다, 용액, 정리, 완성, 이용, 의생활",정답:결과 | 보기:결/과/가/나/다,"chunks:민수는/집에서/결과를/배웠다. | targetIndex:2 | vocabDistractor:바꾸다를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:결과가,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=60093
48,평균,평균,"수나 양, 정도의 중간값을 갖는 수.",월 평균.,평균 계산.,평균 수입.,미사용,"주생활, 기록, 성질, 크기, 요약, 모두",정답:평균 | 보기:평/균/가/나/다,"chunks:지수는/도서관에서/평균을/배웠다. | targetIndex:2 | vocabDistractor:주생활을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:평균이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=88169
49,단순,단순,복잡하지 않고 간단한 것.,단순 노동.,단순 논리.,단순 명료.,미사용,"모습, 부분, 맞다, 의견, 대비, 보고",정답:단순 | 보기:단/순/가/나/다,"chunks:나는/수업 시간에/단순을/배웠다. | targetIndex:2 | vocabDistractor:모습을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:단순이,잊어버렸다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=28372
50,구조,구조,재난으로 위험에 처한 사람을 구함.,승객 구조.,구조 신호.,구조를 기다리다.,미사용,"형태, 반대, 모두, 연결, 요약, 참여",정답:구조 | 보기:람/약/조/히/구,"chunks:우리는/교실에서/구조를/배웠다. | targetIndex:2 | vocabDistractor:형태를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:구조가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=36923 | AUTO_SELECTED_90_BALANCED
